Name,RA,Dec,Con,OT,Mag,Diam
Wray 16-120,191.478958,-60.337444,CRU,PN,nan,0.200
He 2-70,173.802458,-60.281694,CEN,PN,nan,0.583
He 2-82,185.971417,-60.220472,CRU,PN,nan,0.400
He 2-67,172.199917,-60.109056,CEN,PN,nan,0.083
IC 2501,144.697958,-60.091194,CAR,PN,10.40,0.033
NGC 3699,171.996583,-59.958917,CEN,PN,11.00,0.750
He 2-151,243.925000,-59.900861,NOR,PN,nan,0.050
Wray 17-66,214.725000,-59.883333,CEN,PN,nan,nan
Wray 17-44,157.325000,-59.833333,CAR,PN,nan,nan
Wray 17-58,197.575000,-59.750000,CEN,PN,nan,nan
StWr 2-48,261.275000,-59.533333,ARA,PN,nan,nan
SuWt 2,208.939125,-59.378056,CEN,PN,nan,1.083
Wray 16-93,172.702833,-59.284389,CEN,PN,nan,0.200
He 2-26,139.866333,-59.202083,CAR,PN,nan,0.000
Hf 38,163.645500,-59.163528,CAR,PN,nan,0.417
He 2-163,247.376458,-59.156194,NOR,PN,nan,0.333
Mz 1,233.569625,-59.149861,NOR,PN,nan,0.433
Pe 2-5,157.180417,-59.069583,CAR,PN,nan,1.500
Wray 16-42,139.900000,-59.066667,CAR,PN,nan,nan
Wray 17-70,231.725000,-58.983333,CIR,PN,nan,nan
He 2-102,209.555583,-58.908278,CEN,PN,nan,0.150
Wray 17-28,140.800000,-58.866667,CAR,PN,nan,nan
Hf 4,153.891417,-58.852917,CAR,PN,nan,0.350
He 2-132,234.501958,-58.747611,NOR,PN,nan,0.300
He 2-78,182.293750,-58.709972,CRU,PN,nan,0.050
He 2-101,208.733917,-58.455194,CEN,PN,nan,0.000
He 2-141,239.788292,-58.397583,NOR,PN,nan,0.233
He 2-158,245.877875,-58.323361,NOR,PN,nan,0.033
NGC 2867,140.356667,-58.313333,CAR,PN,9.70,0.233
MeWe 1-2,153.600000,-58.200000,CAR,PN,nan,nan
KoRe 1,244.815917,-57.973583,NOR,PN,nan,0.237
Wray 17-69,230.275000,-57.950000,CIR,PN,nan,nan
He 2-88,196.449250,-57.655944,CEN,PN,nan,0.167
He 2-32,142.733042,-57.616056,CAR,PN,nan,0.583
Wray 16-128,201.090333,-57.522194,CEN,PN,nan,0.300
Wray 16-197,239.950000,-57.500000,NOR,PN,nan,nan
He 2-64,171.848125,-57.298806,CEN,PN,nan,0.140
He 2-36,145.858375,-57.283278,CAR,PN,nan,0.367
Wray 17-50,179.075000,-57.200000,CRU,PN,nan,nan
He 2-375,274.550000,-57.183333,PAV,PN,nan,nan
NGC 3918,177.578917,-57.180944,CEN,PN,8.20,0.317
Pe 2-8,230.925875,-57.154861,CIR,PN,nan,0.027
PB 8,173.328250,-57.105028,CEN,PN,nan,0.083
Pe 1-2,159.883250,-57.102750,VEL,PN,nan,0.083
Wray 16-145,212.200000,-57.083333,CEN,PN,nan,nan
He 2-147,243.505042,-56.991472,NOR,PN,nan,0.000
Wray 17-35,145.225000,-56.966667,VEL,PN,nan,nan
He 3-1333,257.256208,-56.914222,ARA,PN,nan,0.000
Wray 16-122,195.172500,-56.891194,CEN,PN,nan,0.600
Pe 1-1,159.635458,-56.775917,VEL,PN,nan,0.050
He 2-133,235.489500,-56.612806,NOR,PN,nan,0.067
VBe 3,238.244167,-56.398611,NOR,PN,nan,0.200
VBe 2,237.825000,-56.350000,NOR,PN,nan,nan
Wray 17-48,176.425000,-56.350000,CEN,PN,nan,nan
Wray 17-31,142.863083,-56.294750,VEL,PN,nan,1.833
VBRC 6,220.398875,-56.251833,CIR,PN,nan,0.750
Pe 2-7,160.333167,-56.155139,VEL,PN,nan,0.000
NGC 2899,141.764458,-56.105083,VEL,PN,12.20,1.500
He 2-55,162.179542,-56.056389,VEL,PN,nan,0.300
He 2-117,226.497042,-55.989194,CIR,PN,nan,0.083
He 2-142,239.992375,-55.923861,NOR,PN,nan,0.060
PC 11,249.425583,-55.707139,ARA,PN,nan,0.083
He 2-140,239.537333,-55.697972,NOR,PN,nan,0.043
He 2-120,227.983625,-55.664222,CIR,PN,nan,0.450
Wray 17-12,119.825000,-55.616667,CAR,PN,nan,nan
Lo 18,287.438417,-55.577278,TEL,PN,nan,0.717
Wray 16-102,179.075000,-55.550000,CEN,PN,nan,nan
He 2-21,138.467708,-55.472583,VEL,PN,nan,0.040
He 2-109,215.203792,-55.465444,LUP,PN,nan,0.123
IC 4642,257.939292,-55.400667,ARA,PN,12.40,0.275
My 60,157.888083,-55.348361,VEL,PN,nan,0.127
Wray 16-134,206.000000,-55.333333,CEN,PN,nan,nan
He 2-115,226.319542,-55.186750,LUP,PN,nan,0.050
He 2-143,240.248333,-55.094167,NOR,PN,nan,0.087
Y-C 41,128.700000,-55.066667,CAR,PN,nan,nan
LoTr 8,215.497667,-55.037944,LUP,PN,nan,0.317
He 2-146,242.670625,-54.958889,NOR,PN,nan,0.367
Mz 2,243.633625,-54.951111,NOR,PN,nan,0.383
Wray 16-55,144.900000,-54.883333,VEL,PN,nan,nan
PB 4,138.781833,-54.877472,VEL,PN,nan,0.170
He 2-149,243.602708,-54.794306,NOR,PN,nan,0.050
Wray 17-30,141.125000,-54.783333,VEL,PN,nan,nan
MeWe 1-3,202.020750,-54.699167,CEN,PN,nan,0.300
He 2-25,139.505583,-54.658111,VEL,PN,nan,0.083
He 2-29,141.186542,-54.605528,VEL,PN,nan,0.233
He 2-159,246.088042,-54.600944,NOR,PN,nan,0.167
Wray 17-55,184.350000,-54.600000,CEN,PN,nan,nan
MeWe 1-10,263.617792,-54.479833,ARA,PN,nan,1.000
Wray 17-52,180.875000,-54.400000,CEN,PN,nan,nan
Wray 17-75,243.143625,-54.393222,NOR,PN,nan,0.400
He 2-113,224.973917,-54.301917,LUP,PN,nan,0.000
He 2-28,140.526667,-54.162944,VEL,PN,nan,0.167
He 2-165,247.498250,-54.160194,NOR,PN,nan,0.833
He 2-123,230.582000,-54.138028,LUP,PN,nan,0.077
MeWe 1-1,133.403083,-54.085694,VEL,PN,nan,1.833
He 2-162,246.965042,-54.024250,NOR,PN,nan,0.083
SaSt 2-12,255.760792,-53.929500,ARA,PN,nan,0.000
Sa 1-4,243.850000,-53.866667,NOR,PN,nan,nan
He 2-125,230.899083,-53.856833,LUP,PN,nan,0.050
He 2-170,248.839542,-53.835833,ARA,PN,nan,0.083
He 2-50,158.576333,-53.682944,VEL,PN,nan,0.197
He 2-157,245.554750,-53.682139,NOR,PN,nan,0.050
Wray 16-61,148.025000,-53.566667,VEL,PN,nan,nan
He 2-48,157.885292,-53.557528,VEL,PN,nan,0.233
He 2-153,244.308542,-53.534250,NOR,PN,nan,0.217
Wray 17-38,149.925000,-53.466667,VEL,PN,nan,nan
Wray 17-75,244.225000,-53.416667,NOR,PN,nan,nan
He 2-164,247.471625,-53.384472,NOR,PN,nan,0.267
He 2-161,246.155125,-53.376167,NOR,PN,nan,0.167
He 2-18,137.169792,-53.318861,VEL,PN,nan,0.183
Pe 2-4,142.702667,-53.165917,VEL,PN,nan,0.117
PM 1-89,229.787125,-53.164000,LUP,PN,nan,0.450
Fg 1,172.149500,-52.935111,CEN,PN,nan,0.267
He 2-63,171.001583,-52.855944,CEN,PN,nan,0.050
He 2-129,231.385917,-52.845278,LUP,PN,nan,0.027
HaTr 3,249.906333,-52.820417,ARA,PN,nan,0.700
Wray 16-266,260.653625,-52.775139,ARA,PN,nan,0.300
Sa 1-6,270.246792,-52.739306,ARA,PN,nan,0.183
Ste 2-1,152.991042,-52.637583,VEL,PN,nan,0.333
Wray 16-29,132.700000,-52.600000,VEL,PN,nan,nan
He 2-112,220.125167,-52.580972,LUP,PN,nan,0.243
Lo 10,237.385708,-52.508694,NOR,PN,nan,0.200
PC 14,256.561292,-52.499861,ARA,PN,nan,0.117
MeWe 1-4,214.375000,-52.433333,CEN,PN,nan,nan
ESO 209-05,117.825000,-52.316667,CAR,PN,nan,nan
ESO 209-07,118.125000,-52.300000,CAR,PN,nan,nan
K 2-17,257.399375,-52.217556,ARA,PN,nan,0.633
He 2-108,214.538958,-52.177778,CEN,PN,nan,0.183
ESO 216-02,169.540750,-52.168583,CEN,PN,nan,0.600
Mz 3,244.306792,-51.985056,NOR,PN,nan,0.417
Wray 17-53,182.525000,-51.783333,CEN,PN,nan,nan
NGC 6326,260.192625,-51.755361,ARA,PN,11.10,0.208
He 2-186,254.898667,-51.701528,ARA,PN,nan,0.050
Wray 16-31,133.175000,-51.683333,VEL,PN,nan,nan
Wray 16-179,231.175000,-51.616667,LUP,PN,nan,nan
Sp 1,237.921958,-51.523167,NOR,PN,13.00,1.200
Wray 17-49,176.900000,-51.466667,CEN,PN,nan,nan
He 2-104,212.967458,-51.440000,CEN,PN,nan,0.083
VBRC 7,238.786750,-51.396278,NOR,PN,nan,1.667
He 2-128,231.283333,-51.328139,LUP,PN,nan,0.083
Lo 14,242.925000,-51.300000,NOR,PN,nan,nan
Wray 17-74,244.175000,-51.300000,NOR,PN,nan,nan
He 2- 5,116.835792,-51.253028,CAR,PN,nan,0.050
HaTr 4,251.250583,-51.205083,ARA,PN,nan,0.383
NGC 5307,207.764208,-51.204528,CEN,PN,11.20,0.208
MeWe 1-8,252.167625,-51.153917,ARA,PN,nan,0.400
He 2-145,242.247542,-51.033917,NOR,PN,nan,0.175
Sp 3,271.829792,-51.019889,ARA,PN,nan,0.592
BlDz 1,178.265958,-50.844972,CEN,PN,nan,1.367
MeWe 1-7,251.989250,-50.709167,ARA,PN,nan,0.147
ESO 209-10,120.025000,-50.666667,PUP,PN,nan,nan
MeWe 2-2,149.550000,-50.666667,VEL,PN,nan,nan
MeWe 2-4,210.325000,-50.666667,CEN,PN,nan,nan
Wray 16-14,122.100000,-50.550000,VEL,PN,nan,nan
PB 3,133.574708,-50.538750,VEL,PN,nan,0.117
MeWe 1-6,247.778333,-50.453583,NOR,PN,nan,0.283
MeWe 1-5,221.645750,-50.390889,LUP,PN,nan,0.450
He 2-187,255.406375,-50.382444,ARA,PN,nan,0.100
PB 6,153.317542,-50.333556,VEL,PN,nan,0.183
Wray 17-23,136.475000,-50.316667,VEL,PN,nan,nan
Wray 16-45,141.025000,-50.250000,VEL,PN,nan,nan
Wray 16-53,144.500000,-50.166667,VEL,PN,nan,nan
Y-C 2-13,172.850000,-49.983333,CEN,PN,nan,nan
He 2-35,145.401708,-49.962472,VEL,PN,nan,0.083
MeWe 1-9,254.370833,-49.781167,ARA,PN,nan,0.283
Wray 17-33,144.650000,-49.766667,VEL,PN,nan,nan
VERA 104,250.525000,-49.750000,ARA,PN,nan,nan
ESO 209-13,120.750000,-49.616667,PUP,PN,nan,nan
Wray 16-103,180.050000,-49.433333,CEN,PN,nan,nan
He 2-248,264.031625,-49.426583,ARA,PN,nan,0.000
Wray 16-58,146.725000,-49.400000,VEL,PN,nan,nan
He 2-34,145.292958,-49.378278,VEL,PN,nan,0.000
He 2-169,248.561958,-49.355583,NOR,PN,nan,0.367
Wray 17-21,131.650000,-49.350000,VEL,PN,nan,nan
He 2-152,243.834542,-49.223722,NOR,PN,nan,0.183
Wray 17-54,184.125000,-49.200000,CEN,PN,nan,nan
Y-C 2-9,169.275000,-49.200000,CEN,PN,nan,nan
He 2-37,146.851083,-48.971972,VEL,PN,nan,0.383
Wray 16-28,130.875000,-48.916667,VEL,PN,nan,nan
Wray 16-9,118.900000,-48.833333,PUP,PN,nan,nan
ESO 215-04,163.675208,-48.783528,VEL,PN,nan,5.000
Cn 1-1,237.817833,-48.750194,NOR,PN,nan,0.017
He 2- 7,122.883125,-48.720694,VEL,PN,nan,0.750
VERA 90,249.525000,-48.716667,ARA,PN,nan,nan
Wray 16-192,238.375000,-48.716667,NOR,PN,nan,nan
He 3-1191,246.825000,-48.650000,NOR,PN,nan,nan
Wray 17-37,147.050000,-48.550000,VEL,PN,nan,nan
Wray 17-13,120.100000,-48.516667,PUP,PN,nan,nan
Wray 16-189,237.832833,-48.434278,NOR,PN,nan,0.250
StWr 2-37,272.650000,-48.433333,TEL,PN,nan,nan
ESO 209-15,121.295708,-48.391694,VEL,PN,nan,0.400
ESO 223-10,225.418792,-48.350889,LUP,PN,nan,0.300
Wray 16-199,240.091417,-48.259667,NOR,PN,nan,0.133
Lo 5,168.460667,-48.092556,CEN,PN,nan,3.583
Lo 9,235.555875,-47.679306,LUP,PN,nan,1.783
Lo 6,180.181583,-47.553472,CEN,PN,nan,1.033
Sa 1-5,257.864042,-47.416889,ARA,PN,nan,0.000
ESO 259-10,128.529333,-47.277250,VEL,PN,nan,0.467
Wray 17-11,119.875000,-47.033333,PUP,PN,nan,nan
PC 17,263.921792,-46.997583,ARA,PN,nan,0.083
Wray 17- 1,108.699958,-46.956778,PUP,PN,nan,1.367
Wray 17-14,120.350000,-46.950000,PUP,PN,nan,nan
Cn 1-4,261.951750,-46.926250,ARA,PN,nan,0.133
Pe 1-6,245.977917,-46.703444,NOR,PN,nan,0.200
MeWe 1-11,268.196750,-46.698278,ARA,PN,nan,0.917
ESO 279-14,269.902333,-46.647750,ARA,PN,nan,0.400
Wray 17-20,128.620292,-46.427444,VEL,PN,nan,1.000
PB 2,125.165917,-46.337083,VEL,PN,nan,0.050
HBDS 1,148.186667,-46.286000,VEL,PN,nan,1.500
VBe 1,251.375000,-46.183333,ARA,PN,nan,nan
Ve 26,130.850583,-46.141361,VEL,PN,nan,0.083
Tc 1,266.398333,-46.089194,ARA,PN,12.20,0.160
Pe 1-7,247.606833,-46.047583,NOR,PN,nan,0.083
IC 4699,274.630375,-45.984222,TEL,PN,12.60,0.083
He 2-207,259.885333,-45.886111,ARA,PN,nan,0.583
NGC 5882,229.208042,-45.649056,LUP,PN,9.50,0.233
Wray 17-18,125.973667,-45.519417,VEL,PN,nan,0.333
PB 5,139.042333,-45.479556,VEL,PN,nan,0.083
ESO 257-18,112.325000,-45.433333,PUP,PN,nan,nan
Wray 16-278,262.516708,-45.380444,SCO,PN,nan,0.000
Y-C 2-2,118.200000,-45.200000,PUP,PN,nan,nan
IC 4663,266.369125,-44.903194,SCO,PN,12.10,0.217
Wray 16-19,125.275000,-44.400000,VEL,PN,nan,nan
Wray 16-251,256.875000,-44.383333,SCO,PN,nan,nan
Lo 4,151.443250,-44.362333,VEL,PN,nan,0.800
K 1-23,187.717000,-44.239500,CEN,PN,nan,0.700
Pe 1-8,256.595208,-44.220028,SCO,PN,nan,0.317
K 1-24,219.575000,-44.216667,LUP,PN,nan,nan
Cn 1-3,261.549667,-44.191444,SCO,PN,nan,0.083
Lo 1,44.242833,-44.171944,ERI,PN,nan,6.217
Fg 2,264.834750,-44.160611,SCO,PN,nan,0.083
IC 4406,215.610542,-44.151694,LUP,PN,10.20,0.583
Wray 17-6,113.850000,-44.016667,PUP,PN,nan,nan
Vd 1-9,256.413417,-43.957556,SCO,PN,nan,0.000
Wray 16-20,125.918333,-43.212222,PUP,PN,nan,1.000
HaTr 5,255.367000,-43.098833,SCO,PN,nan,2.000
He 2-306,269.138333,-43.054722,SCO,PN,nan,0.050
He 2-118,226.557333,-42.999611,LUP,PN,nan,0.083
Wray 15-12,120.800000,-42.900000,PUP,PN,nan,nan
K 2-15,132.161250,-42.896083,VEL,PN,nan,2.833
ESO 252-09,76.475000,-42.800000,COL,PN,nan,nan
H 1-6,256.748333,-42.687611,SCO,PN,nan,0.200
H 1-3,253.381458,-42.655028,SCO,PN,nan,0.267
Sa 2-202,262.300000,-42.533333,SCO,PN,nan,nan
NGC 2792,138.110917,-42.425417,VEL,PN,11.08,0.217
ESO 320-28,178.122667,-42.293250,CEN,PN,nan,0.533
He 2-155,244.846375,-42.260000,SCO,PN,nan,0.242
Wray 17-24,136.775000,-42.250000,VEL,PN,nan,nan
MeWe 2-5,248.700000,-42.066667,SCO,PN,nan,nan
H 1-7,257.614750,-41.880167,SCO,PN,nan,0.142
ESO 330-02,238.302583,-41.840611,LUP,PN,nan,0.483
HaTr 9,272.241375,-41.806833,CRA,PN,nan,2.700
H 1-5,254.349042,-41.632194,SCO,PN,nan,0.087
StWr 4-10,240.554250,-41.558694,LUP,PN,nan,0.000
CRBB 1,304.866333,-41.525000,SGR,PN,nan,0.133
Wray 16-385,273.220292,-41.507361,CRA,PN,nan,0.133
H 1-21,263.201333,-40.973417,SCO,PN,nan,0.000
ESO 341-10,311.125000,-40.950000,MIC,PN,nan,nan
ESO 328-27,227.425000,-40.933333,LUP,PN,nan,nan
IC 4637,256.287542,-40.882528,SCO,PN,11.70,0.308
RPZM 2-15,261.175000,-40.866667,SCO,PN,nan,nan
ESO 328-01,225.150000,-40.816667,CEN,PN,nan,nan
Vo 3,130.566708,-40.735222,VEL,PN,nan,0.600
Wray 16-411,276.673125,-40.497556,CRA,PN,nan,0.500
NGC 3132,151.757417,-40.436083,VEL,PN,8.20,0.500
ESO 309-20,107.000000,-40.350000,PUP,PN,nan,nan
ESO 312-06,127.225000,-40.350000,VEL,PN,nan,nan
NGC 6153,247.878917,-40.256250,SCO,PN,10.60,0.400
Lo 16,263.916083,-40.199972,SCO,PN,nan,1.383
PM 1-147,261.725000,-40.183333,SCO,PN,nan,nan
He 2-15,133.377417,-40.059583,VEL,PN,nan,0.400
SuWt 3,251.098792,-40.055528,SCO,PN,nan,0.333
Vd 1-5,252.638292,-40.050111,SCO,PN,nan,0.000
ESO 310-11,109.825000,-40.000000,PUP,PN,nan,nan
IRAS 17245-3951,262.025000,-39.900000,SCO,PN,nan,nan
Wray 16-376,272.650000,-39.883333,CRA,PN,nan,nan
Vo 2,124.042083,-39.864139,PUP,PN,nan,0.133
H 2-14,263.083667,-39.855639,SCO,PN,nan,0.333
PRTM 1,75.757208,-39.762222,CAE,PN,nan,0.383
Wray 16-24,129.500000,-39.733333,VEL,PN,nan,nan
IC 1297,289.346625,-39.613056,CRA,PN,10.07,0.117
H 1-28,265.724458,-39.607861,SCO,PN,nan,0.130
Wray 16-50,143.175000,-39.566667,ANT,PN,nan,nan
PM 1-135,258.950000,-39.550000,SCO,PN,nan,nan
RPZM 2-3,257.850000,-39.500000,SCO,PN,nan,nan
He 2-11,129.284083,-39.440417,VEL,PN,nan,1.083
He 2- 9,127.116542,-39.395194,VEL,PN,nan,0.073
IC 5148-50,329.882208,-39.376722,GRU,PN,11.00,1.883
H 1-26,264.126042,-39.367278,SCO,PN,nan,0.300
Vd 1-3,252.386667,-39.352917,SCO,PN,nan,0.000
DS 2,235.752833,-39.325028,LUP,PN,nan,3.000
H 1-37,267.684917,-39.290028,SCO,PN,nan,0.143
He 3-1379,259.950000,-39.183333,SCO,PN,nan,nan
Vd 1-4,252.606125,-39.138556,SCO,PN,nan,0.083
Wray 16-203,242.125000,-39.050000,SCO,PN,nan,nan
RPZM 2-14,261.075000,-39.033333,SCO,PN,nan,nan
Wray 17-22,134.050000,-39.033333,VEL,PN,nan,nan
Vd 1-1,250.639375,-38.907611,SCO,PN,nan,0.000
ESO 313-16,133.125000,-38.900000,VEL,PN,nan,nan
Wray 17-19,126.900000,-38.900000,VEL,PN,nan,nan
Fg 3,270.049875,-38.831028,CRA,PN,nan,0.033
Vd 1-6,253.612583,-38.735556,SCO,PN,nan,0.333
Wray 17-29,141.125000,-38.616667,VEL,PN,nan,nan
Vd 1-2,251.688542,-38.616111,SCO,PN,nan,0.000
ESO 340-34,307.100000,-38.516667,MIC,PN,nan,nan
NGC 6337,260.566958,-38.482694,SCO,PN,12.00,0.850
VBRC 1,127.741458,-38.331194,VEL,PN,nan,1.017
RPZM 2-11,259.675000,-38.283333,SCO,PN,nan,nan
Wray 16-287,263.600000,-38.150000,SCO,PN,nan,nan
H 1-30,266.279625,-38.146833,SCO,PN,nan,0.090
NGC 5873,228.210417,-38.124806,LUP,PN,11.20,0.117
PBZ 1,259.625000,-37.966667,SCO,PN,nan,nan
H 1-22,263.085250,-37.960583,SCO,PN,nan,0.000
Vd 1-8,256.142125,-37.887028,SCO,PN,nan,0.000
ESO 371-09,130.825000,-37.650000,VEL,PN,nan,nan
H 1-52,271.238792,-37.636056,CRA,PN,nan,0.200
Lo 8,201.405250,-37.604333,CEN,PN,nan,1.917
K 2-12,90.525000,-37.416667,COL,PN,nan,nan
H 1-38,267.686667,-37.398306,SCO,PN,nan,0.117
Lo 17,276.951375,-37.266694,CRA,PN,nan,1.733
Lo 12,242.109750,-37.146750,SCO,PN,nan,1.317
PRMG 1,316.472958,-37.137944,MIC,PN,nan,0.137
ESO 380-12,184.775000,-37.133333,CEN,PN,nan,nan
NGC 6302,258.434458,-37.101722,SCO,PN,9.70,0.742
RPZM 2-19,262.075000,-37.083333,SCO,PN,nan,nan
H 1-36,267.450958,-37.024167,SCO,PN,nan,0.000
Sa 2-18,118.250000,-36.733333,PUP,PN,nan,nan
Wray 16-286,263.252208,-36.731444,SCO,PN,nan,0.000
M 3-21,270.631250,-36.647611,SGR,PN,nan,0.083
NGC 2818,139.002125,-36.625444,PYX,PN,11.50,0.833
He 2-175,249.867167,-36.572750,SCO,PN,nan,0.110
Ns 238,125.236458,-36.229694,PUP,PN,nan,0.933
NGC 6072,243.245125,-36.227417,SCO,PN,11.30,1.167
RPZM 2-34,265.700000,-36.216667,SCO,PN,nan,nan
Wray 16-26,130.300000,-36.050000,PYX,PN,nan,nan
Lo 11,240.842167,-36.014889,LUP,PN,nan,1.000
H 1-2,252.222792,-35.786944,SCO,PN,nan,0.000
M 4-2,112.230042,-35.754306,PUP,PN,nan,0.103
